camp_id,camp_name,current_location,website,needs_address,needs_sessions,session_count
"2dda34c7-aaac-4dd7-ae8d-efcd2da728f9","Discovery Center Stony Point","9200 Stony Point Pkwy. Suite 192 A Richmond, VA 23235","https://www.discoverychess.com/summer",,YES,0
"9eb0fc7c-4096-4591-b947-c4743a5ac663","Doodle Dynamo Art Camp","15100 Millwood School Lane, Midlothian, VA","https://doodledynamo.com/richmond/",YES,YES,0
"000b00e9-2b1d-4b59-b00b-a1f66a73bd0d","First Tee Greater Richmond","100 Everett Street, Richmond, VA 23224","https://firstteegreaterrichmond.org",,YES,0
"2cb42ecb-a7a2-40b1-8b1f-32a37f691d54","Greenspring Academy of Music Summer Institutes","503 Stuart Circle, Richmond, VA 23220","https://www.greenspringmusic.org/2026-summer-music-institutes",YES,,9
"7eb42b3b-bf37-4c28-8b9e-5e719660f804","GRSM Summer Music Camps","9109 Dickey Dr, Mechanicsville, VA 23116","https://www.grsm.net/summer-camps",,YES,0
"16841015-e271-490b-9631-50cf38d9adbb","i9 Sports Multi-Sport Camp","Multiple Richmond locations","https://www.i9sports.com",YES,YES,0
"24cf8093-6096-43fc-81cc-f2209f8ee617","iD Tech Camps","University of Richmond, VA","https://www.idtech.com",YES,YES,0
"3c7ab356-fbb0-4ac6-9e47-3c279f983a86","James River Association Summer Camps","16 S 17th Street Suite 100, Richmond, VA 23219","https://thejamesriver.org",,YES,0
"9feec5d7-dfe0-44cb-9b1c-fe93ccd13349","Johns Hopkins Center for Talented Youth","11 U.S. locations","https://cty.jhu.edu",YES,YES,0
"45d17c65-a8f5-49cc-ae9c-6172c704ee01","Lewis Ginter Botanical Garden Summer Camp","1800 Lakeside Avenue, Richmond, VA","https://www.lewisginter.org/",,YES,0
"6a34e1d8-c5bc-4ce3-82f6-35cf2c8d8079","M14 Hoops Richmond West Summer Camps","The Steward School & The Rockville Center","https://richmondwest.m14hoops.com/summer/camps/",YES,,10
"b0282852-a5b6-4202-9e74-c0fd6cc4c41f","Master Cho's Tae Kwon Do Summer Camp","4386 Pouncey Tract Road, Glen Allen, VA","https://masterchotkd.com",,YES,0
"4321d3bd-2b8d-44bd-8f0b-94d71affca82","Maymont Summer Discovery Camps","1000 Westover Road, Richmond, VA","https://maymont.org/",,YES,0
